antecedent,consequent,support,confidence,lift
citrus fruit;other vegetables,root vegetables,0.010371,0.359155,3.295045
other vegetables;yogurt,whipped/sour cream,0.010168,0.234192,3.267062
other vegetables;tropical fruit,root vegetables,0.012303,0.342776,3.144780
beef,root vegetables,0.017387,0.331395,3.040367
citrus fruit;root vegetables,other vegetables,0.010371,0.586207,3.029608
root vegetables;tropical fruit,other vegetables,0.012303,0.584541,3.020999
other vegetables;whole milk,root vegetables,0.023183,0.309783,2.842082
root vegetables,other vegetables;whole milk,0.023183,0.212687,2.842082
butter,other vegetables;whole milk,0.011490,0.207339,2.770630
curd;whole milk,yogurt,0.010066,0.385214,2.761356
whipped/sour cream,other vegetables;whole milk,0.014642,0.204255,2.729417
other vegetables;yogurt,root vegetables,0.012913,0.297424,2.728698
other vegetables;yogurt,tropical fruit,0.012303,0.283372,2.700550
other vegetables;root vegetables,citrus fruit,0.010371,0.218884,2.644626
other vegetables;rolls/buns,root vegetables,0.012201,0.286396,2.627525
tropical fruit;whole milk,root vegetables,0.011998,0.283654,2.602365
rolls/buns;root vegetables,other vegetables,0.012201,0.502092,2.594890
root vegetables;yogurt,other vegetables,0.012913,0.500000,2.584078
whole milk;yogurt,tropical fruit,0.015150,0.270417,2.577089
pip fruit,tropical fruit,0.020437,0.270161,2.574648
tropical fruit;whole milk,yogurt,0.015150,0.358173,2.567516
whipped/sour cream;yogurt,other vegetables,0.010168,0.490196,2.533410
other vegetables;whipped/sour cream,yogurt,0.010168,0.352113,2.524073
other vegetables;root vegetables,tropical fruit,0.012303,0.259657,2.474538
other vegetables;tropical fruit,yogurt,0.012303,0.342776,2.457146
root vegetables;whole milk,other vegetables,0.023183,0.474012,2.449770
whipped/sour cream;whole milk,yogurt,0.010880,0.337539,2.419607
citrus fruit;whole milk,yogurt,0.010269,0.336667,2.413350
whole milk;yogurt,root vegetables,0.014540,0.259528,2.381025
onions,other vegetables,0.014235,0.459016,2.372268
pork;whole milk,other vegetables,0.010168,0.458716,2.370714
whipped/sour cream;whole milk,other vegetables,0.014642,0.454259,2.347679
root vegetables;whole milk,tropical fruit,0.011998,0.245322,2.337931
chicken,root vegetables,0.010880,0.253555,2.326221
curd,yogurt,0.017285,0.324427,2.325615
pip fruit;whole milk,other vegetables,0.013523,0.449324,2.322178
citrus fruit,tropical fruit,0.019929,0.240786,2.294702
