dataset,fraction,n_trans,algo,time_ms,n_maximal,status
accidents,0.1,34018,opt,690.13,19,ok
accidents,0.25,85046,opt,1521.09,22,ok
accidents,0.5,170092,opt,3098.12,23,ok
accidents,0.75,255137,opt,4433.74,26,ok
accidents,1.0,340183,opt,7673.25,23,ok
retail,0.1,8816,base,27.13,101,ok
retail,0.1,8816,opt,81.51,101,ok
retail,0.25,22040,base,110.48,102,ok
retail,0.25,22040,opt,207.7,102,ok
retail,0.5,44081,base,151.87,86,ok
retail,0.5,44081,opt,449.97,86,ok
retail,0.75,66122,base,356.89,73,ok
retail,0.75,66122,opt,668.06,73,ok
retail,1.0,88162,base,740.1,78,ok
retail,1.0,88162,opt,1120.5,78,ok
