dataset,minsup,algo,time_ms,alloc_bytes,n_maximal,status
T10I4D100K,0.001,base,NaN,-1,-1,skip
T10I4D100K,0.001,opt,21427.38,1485189736,4054,ok
T10I4D100K,0.001,spmf,1076.0,95485397,4054,ok
T10I4D100K,0.002,base,NaN,-1,-1,skip
T10I4D100K,0.002,opt,12133.55,1261351560,1938,ok
T10I4D100K,0.002,spmf,986.0,164167053,1938,ok
T10I4D100K,0.005,base,NaN,-1,-1,skip
T10I4D100K,0.005,opt,5939.79,1025271552,585,ok
T10I4D100K,0.005,spmf,1075.0,189502937,585,ok
T10I4D100K,0.01,base,1192.31,539297544,370,ok
T10I4D100K,0.01,opt,4347.9,812197592,370,ok
T10I4D100K,0.01,spmf,931.0,157000320,370,ok
T10I4D100K,0.02,base,700.3,284741168,155,ok
T10I4D100K,0.02,opt,1974.02,434595792,155,ok
T10I4D100K,0.02,spmf,483.0,61049561,155,ok
T10I4D100K,0.05,base,656.91,120852072,10,ok
T10I4D100K,0.05,opt,534.81,188877640,10,ok
T10I4D100K,0.05,spmf,167.0,25608543,10,ok
accidents,0.5,base,NaN,-1,-1,skip
accidents,0.5,opt,20225.0,2300350296,216,ok
accidents,0.5,spmf,1788.0,273823090,216,ok
accidents,0.6,base,NaN,-1,-1,skip
accidents,0.6,opt,11208.38,2032493672,78,ok
accidents,0.6,spmf,1439.0,326904060,78,ok
accidents,0.7,base,NaN,-1,-1,skip
accidents,0.7,opt,7315.81,1892560920,23,ok
accidents,0.7,spmf,1237.0,311945984,23,ok
accidents,0.8,base,NaN,-1,-1,skip
accidents,0.8,opt,6383.86,1767642552,8,ok
accidents,0.8,spmf,1129.0,290612526,8,ok
accidents,0.9,base,NaN,-1,-1,skip
accidents,0.9,opt,5127.35,1603664296,1,ok
accidents,0.9,spmf,908.0,123564697,1,ok
chess,0.7,base,NaN,-1,-1,skip
chess,0.7,opt,714.94,84876768,891,ok
chess,0.7,spmf,75.0,7901817,891,ok
chess,0.75,base,NaN,-1,-1,skip
chess,0.75,opt,363.03,54189048,489,ok
chess,0.75,spmf,66.0,16476891,489,ok
chess,0.8,base,1762.92,836975816,226,ok
chess,0.8,opt,203.07,34264504,226,ok
chess,0.8,spmf,52.0,11913307,226,ok
chess,0.85,base,483.79,119713120,119,ok
chess,0.85,opt,101.0,25229312,119,ok
chess,0.85,spmf,49.0,10195450,119,ok
chess,0.9,base,46.16,18644400,34,ok
chess,0.9,opt,42.94,20172136,34,ok
chess,0.9,spmf,49.0,8781128,34,ok
chess,0.95,base,17.88,10775272,11,ok
chess,0.95,opt,29.81,16867512,11,ok
chess,0.95,spmf,41.0,8455505,11,ok
mushrooms,0.15,base,NaN,-1,-1,skip
mushrooms,0.15,opt,338.45,82641152,306,ok
mushrooms,0.15,spmf,147.0,18280525,306,ok
mushrooms,0.2,base,NaN,-1,-1,skip
mushrooms,0.2,opt,239.31,62111712,161,ok
mushrooms,0.2,spmf,101.0,12035309,161,ok
mushrooms,0.25,base,715.35,324405456,110,ok
mushrooms,0.25,opt,147.81,51996360,110,ok
mushrooms,0.25,spmf,72.0,12913223,110,ok
mushrooms,0.3,base,213.51,123790360,78,ok
mushrooms,0.3,opt,128.89,45671568,78,ok
mushrooms,0.3,spmf,80.0,9502556,78,ok
mushrooms,0.4,base,75.18,27563480,35,ok
mushrooms,0.4,opt,83.1,40334032,35,ok
mushrooms,0.4,spmf,75.0,6863846,35,ok
mushrooms,0.5,base,51.1,21563104,13,ok
mushrooms,0.5,opt,54.35,35850816,13,ok
mushrooms,0.5,spmf,81.0,5808876,13,ok
retail,0.001,base,NaN,-1,-1,skip
retail,0.001,opt,18959.89,971169288,3452,ok
retail,0.001,spmf,1057.0,156753738,3452,ok
retail,0.002,base,NaN,-1,-1,skip
retail,0.002,opt,7606.65,621442224,1341,ok
retail,0.002,spmf,700.0,111474182,1341,ok
retail,0.005,base,NaN,-1,-1,skip
retail,0.005,opt,2045.29,312277704,284,ok
retail,0.005,spmf,352.0,54747665,284,ok
retail,0.01,base,548.92,135514176,78,ok
retail,0.01,opt,902.09,219317416,78,ok
retail,0.01,spmf,229.0,39164909,78,ok
retail,0.02,base,439.62,116265672,20,ok
retail,0.02,opt,606.32,188381168,20,ok
retail,0.02,spmf,199.0,5701256,20,ok
retail,0.05,base,602.78,113311864,4,ok
retail,0.05,opt,457.63,182741144,4,ok
retail,0.05,spmf,189.0,6478683,4,ok
